DNR Parameter,Parameter Type,Description,Result,Units,Present/Absent,Analysis Method,Start Date/Time,Analysis Date/Time,Result Depth,Header/Labslip Depth,Lab ID,Sample/Labslip ID,Collector (Labslip),Lab Method,Result Comments,Lab Comments,LOD,Lower Bound,LOQ,Upper Bound,ID No,ID Point No,Second ID No,Fieldwork Event Field No,Sample/Labslip Field No,Project #,Sample Description,Location Description,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Station Latitude,Monitoring Station Longitude,Received,Reported,Station ID,Station Name,WBIC,Official Waterbody Name,Station Type,Watershed,County,WMU,Lab Account Code
403,DNR_STORET,PH LAB,7.78,SU,,,09/20/2018 9:36,09/28/2018 11:42,,0 to 1.5 Meters,113133790,409402002,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B",,,,,,,10050786,161996036,1012500,PFD92018,PFD92018,CSLS,PLAINFIELD LAKE DEEP GOLE INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,44.20713,-89.47346,44.20713,-89.47346,09/20/2018,10/22/2018,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
410,DNR_STORET,ALKALINITY TOTAL CACO3,142,MG/L,,,09/20/2018 9:36,09/28/2018 11:42,,0 to 1.5 Meters,113133790,409402002,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B",,,2.55,,2.55,,10050786,161996036,1012500,PFD92018,PFD92018,CSLS,PLAINFIELD LAKE DEEP GOLE INTEGRATED SAMPLER,PLAINFIELD LAKE-DEEP HOLE,44.20713,-89.47346,44.20713,-89.47346,09/20/2018,10/22/2018,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
95,DNR_STORET,"CONDUCTIVITY, UMHOS/CM @ 25C",100,uS/cm,,,09/20/2018 11:05,09/28/2018 11:54,,0 to 1.5 Meters,113133790,409402003,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B",,,10,,10,,703032,161995979,1000800,LL92018,LL92018,,LONG LAKE DEEP HOLE INTEGRATED SAMP[LER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,44.20666,-89.45473,44.20666,-89.45473,09/20/2018,10/22/2018,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
403,DNR_STORET,PH LAB,7.52,SU,,,09/20/2018 11:05,09/28/2018 11:54,,0 to 1.5 Meters,113133790,409402003,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B",,,,,,,703032,161995979,1000800,LL92018,LL92018,,LONG LAKE DEEP HOLE INTEGRATED SAMP[LER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,44.20666,-89.45473,44.20666,-89.45473,09/20/2018,10/22/2018,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
410,DNR_STORET,ALKALINITY TOTAL CACO3,47.9,MG/L,,,09/20/2018 11:05,09/28/2018 11:54,,0 to 1.5 Meters,113133790,409402003,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR","SM2510B,EPA150.1,SM2320B",,,2.55,,2.55,,703032,161995979,1000800,LL92018,LL92018,,LONG LAKE DEEP HOLE INTEGRATED SAMP[LER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,44.20666,-89.45473,44.20666,-89.45473,09/20/2018,10/22/2018,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
918,DNR_STORET,CALCIUM TOTAL RECOVERABLE,11.6,MG/L,,,09/20/2018 11:05,09/25/2018 9:43,,0 to 1.5 Meters,113133790,409402003,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",EPA 200.7,,,0.1,,0.3,,703032,161995979,1000800,LL92018,LL92018,,LONG LAKE DEEP HOLE INTEGRATED SAMP[LER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,44.20666,-89.45473,44.20666,-89.45473,09/20/2018,10/22/2018,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
921,DNR_STORET,MAGNESIUM TOTAL RECOVERABLE,6.12,MG/L,,,09/20/2018 11:05,09/25/2018 9:43,,0 to 1.5 Meters,113133790,409402003,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",EPA 200.7,,,0.1,,0.3,,703032,161995979,1000800,LL92018,LL92018,,LONG LAKE DEEP HOLE INTEGRATED SAMP[LER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,44.20666,-89.45473,44.20666,-89.45473,09/20/2018,10/22/2018,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
899,DNR_STORET,HARDNESS TOTAL RECOVERABLE CALCULATION,54.1,MG/L,,,09/20/2018 11:05,09/25/2018 9:43,,0 to 1.5 Meters,113133790,409402003,"CATHERINE L HEIN, MICHAELA A KROMREY, ANDR",EPA 200.7,,,0.66,,2,,703032,161995979,1000800,LL92018,LL92018,,LONG LAKE DEEP HOLE INTEGRATED SAMP[LER,LONG LAKE (2009E17) PLAINFIELD-DEEP HOLE,44.20666,-89.45473,44.20666,-89.45473,09/20/2018,10/22/2018,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,Fourteenmile Creek,Waushara,Central Wisconsin,WQ030
300,DNR_STORET,DISSOLVED OXYGEN FIELD,7.57,MG/L,,,10/16/2018 14:00,10/16/2018 14:00,2 Meters,,,,,,,,,,,,10050786,,,,,,,,0,0,44.20713,-89.47346,,,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,,NA,,
400,DNR_STORET,PH FIELD,7.65,SU,,,10/16/2018 14:00,10/16/2018 14:00,2 Meters,,,,,,,,,,,,10050786,,,,,,,,0,0,44.20713,-89.47346,,,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,,NA,,
94,DNR_STORET,CONDUCTIVITY FIELD,321.9,UMHOS/CM,,,10/16/2018 14:00,10/16/2018 14:00,2 Meters,,,,,,,,,,,,10050786,,,,,,,,0,0,44.20713,-89.47346,,,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,8.11,DEGREES C,,,10/16/2018 14:00,10/16/2018 14:00,2.5 Meters,,,,,,,,,,,,10050786,,,,,,,,0,0,44.20713,-89.47346,,,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,,NA,,
300,DNR_STORET,DISSOLVED OXYGEN FIELD,7.72,MG/L,,,10/16/2018 14:00,10/16/2018 14:00,2.5 Meters,,,,,,,,,,,,10050786,,,,,,,,0,0,44.20713,-89.47346,,,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,,NA,,
400,DNR_STORET,PH FIELD,7.66,SU,,,10/16/2018 14:00,10/16/2018 14:00,2.5 Meters,,,,,,,,,,,,10050786,,,,,,,,0,0,44.20713,-89.47346,,,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,,NA,,
94,DNR_STORET,CONDUCTIVITY FIELD,321.9,UMHOS/CM,,,10/16/2018 14:00,10/16/2018 14:00,2.5 Meters,,,,,,,,,,,,10050786,,,,,,,,0,0,44.20713,-89.47346,,,10050786,Plainfield Lake - Deep Hole,1012500,Plainfield Lake,LAKE-DEEPEST SPOT,,NA,,
49701,DNR_STORET,SECCHI DEPTH - FEET,7.22,FEET,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
99420,DNR_STORET,SECCHI DEPTH HIT BOTTOM,YES,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
90003,SWIMS,WATER LEVEL (VISUAL),HIGH,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
90000,SWIMS,WATER COLUMN APPEARANCE,CLEAR,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
90001,SWIMS,WATER COLOR (VISUAL),BROWN,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
90002,SWIMS,USER PERCEPTION OF WATER QUALITY,"1-Beautiful, could not be nicer",,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
32,DNR_STORET,CLOUD COVER,25,%,,,10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
20,DNR_STORET,AMBIENT AIR TEMPERATURE - FIELD,11.11,DEGREES C,,,10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
35,DNR_STORET,WIND VELOCITY (MILES PER HOUR),15,MPH,,,10/16/2018 15:06,10/16/2018 15:06,,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,7.79,DEGREES C,,,10/16/2018 15:06,10/16/2018 15:06,0 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
300,DNR_STORET,DISSOLVED OXYGEN FIELD,10.18,MG/L,,,10/16/2018 15:06,10/16/2018 15:06,0 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
400,DNR_STORET,PH FIELD,7.55,SU,,,10/16/2018 15:06,10/16/2018 15:06,0 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
94,DNR_STORET,CONDUCTIVITY FIELD,90.1,UMHOS/CM,,,10/16/2018 15:06,10/16/2018 15:06,0 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,7.77,DEGREES C,,,10/16/2018 15:06,10/16/2018 15:06,.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
300,DNR_STORET,DISSOLVED OXYGEN FIELD,10.18,MG/L,,,10/16/2018 15:06,10/16/2018 15:06,.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
400,DNR_STORET,PH FIELD,7.55,SU,,,10/16/2018 15:06,10/16/2018 15:06,.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
94,DNR_STORET,CONDUCTIVITY FIELD,90,UMHOS/CM,,,10/16/2018 15:06,10/16/2018 15:06,.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,7.76,DEGREES C,,,10/16/2018 15:06,10/16/2018 15:06,1 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
300,DNR_STORET,DISSOLVED OXYGEN FIELD,10.17,MG/L,,,10/16/2018 15:06,10/16/2018 15:06,1 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
400,DNR_STORET,PH FIELD,7.56,SU,,,10/16/2018 15:06,10/16/2018 15:06,1 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
94,DNR_STORET,CONDUCTIVITY FIELD,90,UMHOS/CM,,,10/16/2018 15:06,10/16/2018 15:06,1 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,7.75,DEGREES C,,,10/16/2018 15:06,10/16/2018 15:06,1.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
300,DNR_STORET,DISSOLVED OXYGEN FIELD,10.17,MG/L,,,10/16/2018 15:06,10/16/2018 15:06,1.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
400,DNR_STORET,PH FIELD,7.55,SU,,,10/16/2018 15:06,10/16/2018 15:06,1.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
94,DNR_STORET,CONDUCTIVITY FIELD,90,UMHOS/CM,,,10/16/2018 15:06,10/16/2018 15:06,1.5 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
10,DNR_STORET,TEMPERATURE FIELD,7.67,DEGREES C,,,10/16/2018 15:06,10/16/2018 15:06,2 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
300,DNR_STORET,DISSOLVED OXYGEN FIELD,10.19,MG/L,,,10/16/2018 15:06,10/16/2018 15:06,2 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
400,DNR_STORET,PH FIELD,7.54,SU,,,10/16/2018 15:06,10/16/2018 15:06,2 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
94,DNR_STORET,CONDUCTIVITY FIELD,90,UMHOS/CM,,,10/16/2018 15:06,10/16/2018 15:06,2 Meters,,,,,,,,,,,,703032,,,,,,,,0,0,44.20666,-89.45473,,,703032,Long Lake (2009e17) Plainfield - Deep Hole,1000800,Long Lake,LAKE-DEEPEST SPOT,,NA,,
49701,DNR_STORET,SECCHI DEPTH - FEET,13.94,FEET,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
99420,DNR_STORET,SECCHI DEPTH HIT BOTTOM,NO,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
90003,SWIMS,WATER LEVEL (VISUAL),HIGH,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
90000,SWIMS,WATER COLUMN APPEARANCE,CLEAR,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
90001,SWIMS,WATER COLOR (VISUAL),GREEN,,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
90002,SWIMS,USER PERCEPTION OF WATER QUALITY,"1-Beautiful, could not be nicer",,,"CLMN - Secchi, Color, Clarity, Perception, Lake Level 1986",10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
32,DNR_STORET,CLOUD COVER,5,%,,,10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
20,DNR_STORET,AMBIENT AIR TEMPERATURE - FIELD,7.78,DEGREES C,,,10/17/2018 12:39,10/17/2018 12:39,,,,,,,,,,,,,703057,,,,,,,,0,0,43.98528,-89.55251,,,703057,Pleasant Lake - Deep Hole,106900,Pleasant Lake,LAKE-DEEPEST SPOT,,NA,,
